[2021-12-27 20:15:35.416180]: Camera 30; IP Address: 172.16.10.101 Offline
[2021-12-27 20:15:35.418181]: Camera 37; IP Address: 172.16.10.207 Offline
[2021-12-27 20:15:35.420193]: Camera 29; IP Address: 172.16.10.100 Offline
[2021-12-27 20:16:08.620424]: Camera 3; IP Address: csecamera1 Offline
[2021-12-27 20:16:38.968314]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 20:16:42.377321]: Camera 28; IP Address: 172.16.10.99 Offline
[2021-12-27 20:16:42.377321]: Camera 27; IP Address: 172.16.10.98 Offline
[2021-12-27 20:16:42.381854]: Camera 34; IP Address: 172.16.10.105 Offline
[2021-12-27 20:16:42.381854]: Camera 32; IP Address: 172.16.10.103 Offline
[2021-12-27 20:16:42.883451]: Camera 29; IP Address: 172.16.10.100 Offline
[2021-12-27 20:16:42.891453]: Camera 30; IP Address: 172.16.10.101 Offline
[2021-12-27 20:16:42.894453]: Camera 33; IP Address: 172.16.10.104 Offline
[2021-12-27 20:16:42.897456]: Camera 37; IP Address: 172.16.10.207 Offline
[2021-12-27 20:16:42.899456]: Camera 31; IP Address: 172.16.10.102 Offline
[2021-12-27 20:16:42.901454]: Camera 35; IP Address: 172.16.10.106 Offline
[2021-12-27 20:16:42.905455]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 20:16:42.906468]: Camera 36; IP Address: 172.16.10.205 Offline
[2021-12-27 20:16:45.894405]: Camera 8; IP Address: 172.16.10.149 Offline
[2021-12-27 20:16:45.898407]: Camera 7; IP Address: 172.16.10.148 Offline
[2021-12-27 20:16:45.902407]: Camera 16; IP Address: 172.16.10.210 Offline
[2021-12-27 20:16:45.902407]: Camera 9; IP Address: 172.16.10.150 Offline
[2021-12-27 20:16:45.902407]: Camera 10; IP Address: 172.16.10.151 Offline
[2021-12-27 20:16:45.908410]: Camera 14; IP Address: 172.16.10.155 Offline
[2021-12-27 20:16:45.912410]: Camera 15; IP Address: 172.16.10.209 Offline
[2021-12-27 20:16:45.913410]: Camera 13; IP Address: 172.16.10.154 Offline
[2021-12-27 20:16:45.914411]: Camera 11; IP Address: 172.16.10.152 Offline
[2021-12-27 20:16:45.916606]: Camera 12; IP Address: 172.16.10.153 Offline
[2021-12-27 20:17:20.388299]: Camera 17; IP Address: 172.16.10.90 Offline
[2021-12-27 20:17:20.395334]: Camera 25; IP Address: 172.16.10.203 Offline
[2021-12-27 20:17:20.397845]: Camera 24; IP Address: 172.16.10.97 Offline
[2021-12-27 20:17:20.401852]: Camera 21; IP Address: 172.16.10.94 Offline
[2021-12-27 20:17:20.402858]: Camera 26; IP Address: 172.16.10.204 Offline
[2021-12-27 20:17:20.404854]: Camera 18; IP Address: 172.16.10.91 Offline
[2021-12-27 20:17:20.405854]: Camera 19; IP Address: 172.16.10.92 Offline
[2021-12-27 20:17:20.405854]: Camera 22; IP Address: 172.16.10.95 Offline
[2021-12-27 20:17:54.883542]: Camera 45; IP Address: 172.16.10.114 Offline
[2021-12-27 20:17:54.889544]: Camera 49; IP Address: 172.16.10.222 Offline
[2021-12-27 20:17:54.891544]: Camera 48; IP Address: 172.16.11.221 Offline
[2021-12-27 20:17:54.897578]: Camera 39; IP Address: 172.16.10.108 Offline
[2021-12-27 20:17:54.899086]: Camera 44; IP Address: 172.16.10.113 Offline
[2021-12-27 20:17:54.903094]: Camera 42; IP Address: 172.16.10.111 Offline
[2021-12-27 20:17:54.903094]: Camera 38; IP Address: 172.16.10.107 Offline
[2021-12-27 20:17:54.909097]: Camera 43; IP Address: 172.16.10.112 Offline
[2021-12-27 20:17:54.909097]: Camera 47; IP Address: 172.16.10.116 Offline
[2021-12-27 20:17:54.914098]: Camera 40; IP Address: 172.16.10.109 Offline
[2021-12-27 20:17:54.915098]: Camera 41; IP Address: 172.16.10.110 Offline
[2021-12-27 20:17:54.918100]: Camera 46; IP Address: 172.16.10.115 Offline
[2021-12-27 20:18:30.386596]: Camera 58; IP Address: 172.16.10.206 Offline
[2021-12-27 20:18:30.390174]: Camera 56; IP Address: 172.16.10.123 Offline
[2021-12-27 20:18:30.393630]: Camera 53; IP Address: 172.16.10.120 Offline
[2021-12-27 20:18:30.394638]: Camera 51; IP Address: 172.16.10.118 Offline
[2021-12-27 20:18:30.396639]: Camera 57; IP Address: 172.16.10.124 Offline
[2021-12-27 20:18:30.399641]: Camera 54; IP Address: 172.16.10.121 Offline
[2021-12-27 20:18:30.403642]: Camera 50; IP Address: 172.16.10.117 Offline
[2021-12-27 20:18:30.407643]: Camera 55; IP Address: 172.16.10.122 Offline
[2021-12-27 20:18:30.408642]: Camera 52; IP Address: 172.16.10.119 Offline
[2021-12-27 20:19:04.881849]: Camera 63; IP Address: 172.16.10.129 Offline
[2021-12-27 20:19:04.884850]: Camera 64; IP Address: 172.16.10.130 Offline
[2021-12-27 20:19:04.884850]: Camera 61; IP Address: 172.16.10.127 Offline
[2021-12-27 20:19:04.890852]: Camera 62; IP Address: 172.16.10.128 Offline
[2021-12-27 20:19:04.896853]: Camera 59; IP Address: 172.16.10.215 Offline
[2021-12-27 20:19:04.897853]: Camera 60; IP Address: 172.16.10.126 Offline
[2021-12-27 20:19:04.902853]: Camera 65; IP Address: 172.16.10.215 Offline
[2021-12-27 20:19:35.412487]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-27 20:19:38.870521]: Camera 30; IP Address: 172.16.10.101 Offline
[2021-12-27 20:19:39.411756]: Camera 33; IP Address: 172.16.10.104 Offline
[2021-12-27 20:19:39.416755]: Camera 36; IP Address: 172.16.10.205 Offline
[2021-12-27 20:19:39.423757]: Camera 37; IP Address: 172.16.10.207 Offline
[2021-12-27 20:19:39.425758]: Camera 29; IP Address: 172.16.10.100 Offline
[2021-12-27 20:19:39.425758]: Camera 32; IP Address: 172.16.10.103 Offline
[2021-12-27 20:19:39.428757]: Camera 31; IP Address: 172.16.10.102 Offline
[2021-12-27 20:19:39.431714]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-27 20:19:39.433759]: Camera 28; IP Address: 172.16.10.99 Offline
[2021-12-27 20:19:39.436277]: Camera 34; IP Address: 172.16.10.105 Offline
[2021-12-27 20:19:39.438388]: Camera 27; IP Address: 172.16.10.98 Offline
[2021-12-27 20:20:12.595084]: Camera 3; IP Address: csecamera1 Offline
